gs_uri,brand,baby_face_shown,file_name,post_id
gs://ig-influencer-posts/coterie/C-8gh6RP8Mc_2024-08-21_20-30-35_UTC_2.jpg,coterie,False,C-8gh6RP8Mc_2024-08-21_20-30-35_UTC_2.jpg,C-8gh6RP8Mc
gs://ig-influencer-posts/coterie/C-8gh6RP8Mc_2024-08-21_20-30-35_UTC_1.jpg,coterie,False,C-8gh6RP8Mc_2024-08-21_20-30-35_UTC_1.jpg,C-8gh6RP8Mc
gs://ig-influencer-posts/coterie/C-5_QPIyNVK_2024-08-20_21-17-52_UTC_1.jpg,coterie,True,C-5_QPIyNVK_2024-08-20_21-17-52_UTC_1.jpg,C-5_QPIyNVK
gs://ig-influencer-posts/coterie/C-8gh6RP8Mc_2024-08-21_20-30-35_UTC_3.jpg,coterie,False,C-8gh6RP8Mc_2024-08-21_20-30-35_UTC_3.jpg,C-8gh6RP8Mc
gs://ig-influencer-posts/coterie/C-8gh6RP8Mc_2024-08-21_20-30-35_UTC_4.jpg,coterie,False,C-8gh6RP8Mc_2024-08-21_20-30-35_UTC_4.jpg,C-8gh6RP8Mc
gs://ig-influencer-posts/coterie/C-DXZgbOkpL_2024-07-30_15-54-25_UTC.jpg,coterie,True,C-DXZgbOkpL_2024-07-30_15-54-25_UTC.jpg,C-DXZgbOkpL
gs://ig-influencer-posts/coterie/C-ENTmNu4LL_2024-07-30_23-47-31_UTC.jpg,coterie,True,C-ENTmNu4LL_2024-07-30_23-47-31_UTC.jpg,C-ENTmNu4LL
gs://ig-influencer-posts/coterie/C-Nbj5Ss_kr_2024-08-03_13-43-16_UTC.jpg,coterie,False,C-Nbj5Ss_kr_2024-08-03_13-43-16_UTC.jpg,C-Nbj5Ss_kr
gs://ig-influencer-posts/coterie/C-V6tW3u8fR_2024-08-06_20-54-44_UTC.jpg,coterie,True,C-V6tW3u8fR_2024-08-06_20-54-44_UTC.jpg,C-V6tW3u8fR
gs://ig-influencer-posts/coterie/C-YbFlAS_Qo_2024-08-07_20-11-12_UTC_1.jpg,coterie,False,C-YbFlAS_Qo_2024-08-07_20-11-12_UTC_1.jpg,C-YbFlAS_Qo
gs://ig-influencer-posts/coterie/C-cubbruXeH_2024-08-09_12-16-20_UTC_1.jpg,coterie,True,C-cubbruXeH_2024-08-09_12-16-20_UTC_1.jpg,C-cubbruXeH
gs://ig-influencer-posts/coterie/C-cubbruXeH_2024-08-09_12-16-20_UTC_2.jpg,coterie,True,C-cubbruXeH_2024-08-09_12-16-20_UTC_2.jpg,C-cubbruXeH
gs://ig-influencer-posts/coterie/C-sMKNjuCDh_2024-08-15_12-27-50_UTC_1.jpg,coterie,False,C-sMKNjuCDh_2024-08-15_12-27-50_UTC_1.jpg,C-sMKNjuCDh
gs://ig-influencer-posts/coterie/C-fvNDcuuQg_2024-08-10_16-20-50_UTC.jpg,coterie,True,C-fvNDcuuQg_2024-08-10_16-20-50_UTC.jpg,C-fvNDcuuQg
gs://ig-influencer-posts/coterie/C-ENTmNu4LL_2024-07-30_23-47-31_UTC_1.mp4,coterie,True,C-ENTmNu4LL_2024-07-30_23-47-31_UTC_1.mp4,C-ENTmNu4LL
gs://ig-influencer-posts/coterie/C-DXZgbOkpL_2024-07-30_15-54-25_UTC_1.mp4,coterie,True,C-DXZgbOkpL_2024-07-30_15-54-25_UTC_1.mp4,C-DXZgbOkpL
gs://ig-influencer-posts/coterie/C0tq0g2M1NP_2023-12-11_12-57-58_UTC.jpg,coterie,False,C0tq0g2M1NP_2023-12-11_12-57-58_UTC.jpg,C0tq0g2M1NP
gs://ig-influencer-posts/coterie/C-5_QPIyNVK_2024-08-20_21-17-52_UTC.mp4,coterie,True,C-5_QPIyNVK_2024-08-20_21-17-52_UTC.mp4,C-5_QPIyNVK
gs://ig-influencer-posts/coterie/C13K-t2oUAQ_2024-01-09_02-03-32_UTC_1.jpg,coterie,True,C13K-t2oUAQ_2024-01-09_02-03-32_UTC_1.jpg,C13K-t2oUAQ
gs://ig-influencer-posts/coterie/C13K-t2oUAQ_2024-01-09_02-03-32_UTC_2.jpg,coterie,False,C13K-t2oUAQ_2024-01-09_02-03-32_UTC_2.jpg,C13K-t2oUAQ
gs://ig-influencer-posts/coterie/C-V6tW3u8fR_2024-08-06_20-54-44_UTC_1.mp4,coterie,True,C-V6tW3u8fR_2024-08-06_20-54-44_UTC_1.mp4,C-V6tW3u8fR
gs://ig-influencer-posts/coterie/C13K-t2oUAQ_2024-01-09_02-03-32_UTC_4.jpg,coterie,True,C13K-t2oUAQ_2024-01-09_02-03-32_UTC_4.jpg,C13K-t2oUAQ
gs://ig-influencer-posts/coterie/C13K-t2oUAQ_2024-01-09_02-03-32_UTC_5.jpg,coterie,False,C13K-t2oUAQ_2024-01-09_02-03-32_UTC_5.jpg,C13K-t2oUAQ
gs://ig-influencer-posts/coterie/C13K-t2oUAQ_2024-01-09_02-03-32_UTC_3.jpg,coterie,True,C13K-t2oUAQ_2024-01-09_02-03-32_UTC_3.jpg,C13K-t2oUAQ
gs://ig-influencer-posts/coterie/C-Nbj5Ss_kr_2024-08-03_13-43-16_UTC_1.mp4,coterie,False,C-Nbj5Ss_kr_2024-08-03_13-43-16_UTC_1.mp4,C-Nbj5Ss_kr
gs://ig-influencer-posts/coterie/C13K-t2oUAQ_2024-01-09_02-03-32_UTC_6.jpg,coterie,True,C13K-t2oUAQ_2024-01-09_02-03-32_UTC_6.jpg,C13K-t2oUAQ
